WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2017/09/16,KPH Opening,MUSC,NA,Y,Y,M,M,M,M,NA,NA
,Kracum,  2017/10/13,GUEST: MONK! - Laura Caviani,MUSC,NA,Y,Y,M,M,M,L,N,N
,Kracum,  2017/10/21,CSA: Robin Hood - Prince of Sleaze,CSA,100,NA,NA,L,L,L,NA,NA,NA
,Kracum,  2017/10/25,"GUEST: Still, Amber Mackey",MUSC,NA,Y,NA,H,L,H,L,N,N
,Kracum,  2017/10/24,Trustee's Event,MUSC,NA,NA,Y,H,H,H,H,Y,NA
,Kracum,  2017/10/21,Symphony Concert,MUSC,NA,Y,NA,L,L,L,L,Y,Y
,Kracum,  2017/10/28,Voice Showcase Recital,MUSC,60,NA,NA,L,L,M,L,Y,Y
,Kracum,  2017/10/29,Chinese & Global Music Concert,MUSC,NA,Y,M,M,L,M,NA,Y,Y
,Kracum,  2017/11/01,Jazz Concert,MUSC,NA,Y,N,H,H,M,NA,N,Y
,Kracum,  2017/11/04,CSA: Exit 69 & Knightingales,CSA,150,NA,NA,NA,NA,NA,NA,NA,NA
,Kracum,  2017/11/05,Choir Concert,MUSC,NA,Y,N,H,L,H,L,N,Y
,Weitz Commons,  2017/11/14,West African Drum Ensemble,MUSC,NA,N,N,L,L,L,L,N,N
,Kracum,  2017/11/10,Orchestra Concert,MUSC,332,Y,N,L,L,L,L,N,Y
,Kracum,  2017/11/11,CSA: Just Cellin',CSA,99,N,N,L,L,L,L,N,NA
,Kracum,  2017/11/12,Chamber Music Recital,MUSC,37,Y,N,M,L,M,L,N,NA
,Kracum,  2017/11/15,CSA: Singing Knights & Accidentals,CSA,223,N,N,L,L,L,L,N,NA
