WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,PROJECTION,VIDEO RECORDING
,Concert Hall,  2017/01/15,GUEST: Contemporary Voices from Latin America,MUSC,64,Y,Y,L,L,L,N,Y
,Chapel,  2017/01/20,SPCO Concert,MUSC,388,Y,N,H,L,H,N,N
,Concert Hall,  2017/02/01,GUEST: Beijing Bamboo Orchestra,MUSC,NA,N,N,L,L,L,Y,Y
,Concert Hall,  2017/02/03,CSA: Adam's Adventures in Wonderland,MUSC,259,NA,NA,L,L,L,NA,Y
,Weitz Cinema,  2017/02/09,Laudie Porter Concert Series: Montage - Gloria Cheng,MUSC,NA,Y,Y,L,L,L,Y,N
,Concert Hall,  2017/02/11,ACA Night,CSA,NA,NA,NA,L,M,L,Y,NA
,Concert Hall,  2017/02/11,Voice Showcase Recital,MUSC,22,N,Y,L,L,L,Y,NA
,Concert Hall,  2017/02/18,CSA: We Speak,CSA,70,NA,AN,L,L,L,Y,NA
,Concert Hall,  2017/02/19,Chinese Music Ensemble,MUSC,235,Y,Y,M,M,M,N,Y
,Concert Hall,  2017/02/19,Senior Violin Recital,MUSC,NA,NA,Y,L,L,L,NA,Y
,Weitz Commons,  2017/02/24,Symphony Concert,MUSC,NA,Y,N,M,L,H,N,Y
,Concert Hall,  2017/02/26,Jazz Concert,MUSC,101,Y,Y,H,H,H,N,N
,Concert Hall,  2017/03/01,Chamber Music Recital,MUSC,7,Y,N,M,L,M,N,N
,Concert Hall,  2017/03/01,Piano Studio Recital,MUSC,64,Y,N,L,L,L,N,N
,Concert Hall,  2017/03/03,Orchestra Concert,MUSC,221,Y,Y,L,L,L,N,N
,Concert Hall,  2017/03/05,Organ & Harpsichord Recital,MUSC,20,Y,N,L,L,L,N,N
,Concert Hall,  2017/03/06,West African Drum Emsemble,MUSC,NA,N,N,L,L,L,N,Y
,Concert Hall,  2017/03/05,Chamber Music Recital,MUSC,22,Y,N,L,L,L,N,N
,Concert Hall,  2017/03/08,Violin/Viola Recita,MUSC,NA,Y,N,L,L,L,N,N
,Concert Hall,  2017/03/07,Jazz Chamber ,MUSC,23,Y,N,M,L,M,N,N
,Concert Hall,  2017/03/10,CSA: Carleton Singing Knights,CSA,298,NA,NA,L,L,L,N,N
,Concert Hall,  2017/03/11,CSA: Just Cellin',CSA,116,N,Y,L,L,L,N,N
