venue,date,what,genre,sponsor,department,audience_count,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Concert Hall,2014-10-10,GUEST: Lake Wobegon Brass Band,Brass Band,"Anoka-Ramsey Community College & Anoka Brass Band Association, Inc.",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-10-12,GUEST: Lucas Concert - JazzAx,Saxophone Quartet,Lucas Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-10-26,GUEST: Linda Chatterton Flute Recital,Flute and Piano Duo,Faculty: Matthew McCright,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-11-02,GUEST: Red Baraat Concert,Jazz Ensemble,Concert Series,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2015-02-06,GUEST: Woodward Concert - Haas & Anoki,Violin and Piano,Woodward Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W15,NA,MUSC,Guest,2014-2015,Winter
Concert Hall,2015-02-08,"GUEST: Anderson, Martin, & Hagedorn","Horn, Double Bass, and Xylosynth Trio",Faculty: Gwen Anderson & Faculty: Connie Martin,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W15,NA,MUSC,Guest,2014-2015,Winter
Concert Hall,2015-04-04,GUEST: Ysaÿe Barnwell,Voice Solo,Laudie D. Porter Performing and Creative Artists,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-04-12,GUEST: Jon Nakamastsu,Piano Solo,Concert Series,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-04-26,"GUEST: Songs of War - R Penning, S Penning, Anderson, Anderegg, Rosenberg, & Melville",Chamber Group,Concert Series,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-08,GUEST: Light Lectureship - Polygraph Lounge,Quartet,Light Lectureship & Carleton Arts & Technology Initiative,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-09,GUEST: Light Lectureship - Polygraph Lounge Chamber,Quartet + Chamber,Light Lectureship & Carleton Arts & Technology Initiative,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
