WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV STAFF,PAC STAFF,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
,Concert Hall,  2014/10/05,Faculty Piano Recital: Loren Fishman,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/10/10,GUEST: Lake Wobegon Brass Band,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/10/12,GUEST: Lucas Concert - JazzAx,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Prescott United Church of Christ, Wisconsin",  2014/10/19,Choir Concert I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/10/26,GUEST: Linda Chatterton Flute Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Weitz Cinema,  2014/10/31,Symphony Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/01,Voice Showcase Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/02,GUEST: Red Baraat Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/03,Voice Studio Recital I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/06,Voice Studio Recital II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/10,Voice Studio Recital III,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/13,Voice Studio Recital IV,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/05,Piano Studio Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/08,Choir Concert II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/09,Chinese Music Ensemble,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/14,Orchestra Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/16,Jazz Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/16,Chamber Music Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/17,Violin/Viola Recital I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sayles Hill,  2014/11/18,African Drum Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2014/11/19,Violin/Viola Recital II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
