WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,PROJECTION,VIDEO RECORDING
,Concert Hall,  2016/09/16,GUEST: Mobius Percussion,MUSC,101,Y,Y,M,H,L,N,Y
,Concert Hall,  2016/09/30,GUEST: Duo Mistral,MUSC,62,Y,Y,L,L,L,N,L
,Concert Hall,  2016/10/14,Arts + Culture Fest,MUSC,350,NA,NA,NA,L,NA,NA,Y
,Concert Hall,  2016/10/16,Woodward Concert Series: Larence Colloquium and Concert,MUSC,93,Y,Y,L,L,L,N,Y
,Concert Hall,  2016/10/22,Voice Showcase Recital,MUSC,66,Y,Y,NA,NA,NA,NA,NA
,Concert Hall,  2016/10/28,Symphony Concert,MUSC,67,Y,Y,M,L,H,N,N
,Concert Hall,  2016/10/29,Chinese Music Ensemble,MUSC,294,Y,Y,M,M,M,N,Y
,Basilica of St. Mary,  2016/11/05,"Men's Choir, Bella, Jubilet",MUSC,12,Y,NA,NA,NA,NA,NA,NA
,Concert Hall,  2016/11/06,Jazz Concert,MUSC,66,Y,Y,M,M,M,N,N
,Concert Hall,  2016/11/09,Piano Recital,MUSC,42,Y,N,L,L,L,N,N
,Concert Hall,  2016/11/11,Orchestra Concert,MUSC,281,Y,Y,M,L,H,N,Y
,Concert Hall,  2016/11/12,A Cappella Concert,CSA,183,NA,NA,L,L,L,NA,NA
,Concert Hall,  2016/11/13,Chamber Music Recital,MUSC,41,Y,N,L,L,L,N,Y
,Concert Hall,  2016/11/13,Juest Cellin',CSA,59,NA,NA,L,L,L,NA,NA
,Concert Hall,  2016/11/16,Violin & Viola Recital II,MUSC,24,Y,N,L,L,L,N,N
,Concert Hall,  2016/11/16,Knights & Gales A Cappella Concert,CSA,211,NA,NA,L,L,L,NA,NA
