WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2018/09/15,ODOA: Sona Jobarteh Concert,ODOA,255,N,Y,H,H,M,M,N,N
,Applebaum,  2018/10/05,FACULTY RECITAL: Mattew McCright,MUSC,60,Y,N,M,L,L,H,Y,Y
,Applebaum,  2018/10/14,Senior Guqin Recital: Gege Zhang,MUSC,29,Y,N,M,M,M,L,N,Y
,Kracum,  2018/10/19,CSA: Pied Pipers,CSA,90,N,N,L,L,L,L,N,Y
,Kracum,  2018/10/25,Symphony Concert,MUSC,78,Y,N,NA,NA,NA,L,Y,Y
,Applebaum,  2018/10/27,Voice Showcase Recital,MUSC,48,N,N,L,L,L,L,Y,Y
,Kracum,  2018/10/28,Chinese & Global Music Concert,MUSC,48,Y,N,H,H,H,L,N,Y
,Kracum,  2018/11/02,GUEST: New Zealand String Quartet,MUSC,214,Y,Y,L,L,L,L,N,N
,Kracum,  2018/11/03,Choir Concert,MUSC,187,Y,N,M,L,H,L,N,Y
,Kracum,  2018/11/03,CSA: Date Knight,CSA,250,N,N,L,M,L,L,N,Y
,Kracum,  2018/11/04,Jazz Concert,MUSC,152,Y,N,H,H,H,L,N,Y
,Kracum,  2018/11/07,Piano Studios Recital,MUSC,41,Y,N,L,L,L,L,N,Y
,Kracum,  2018/11/09,Orchestra Concert,MUSC,250,Y,N,H,L,H,L,N,Y
,Kracum,  2018/11/10,CSA: Just Cellin' & Intertwining Melodies,CSA,63,N,N,L,L,L,L,N,N
,Applebaum,  2018/11/11,Chamber Music Recital,MUSC,30,Y,N,M,M,L,L,N,Y
,Kracum,  2018/11/12,Jazz Chamber Recital,MUSC,30,N,N,H,H,M,L,N,Y
,Kracum,  2018/11/13,Composition Showcase Recital,MUSC,49,Y,N,M,M,L,L,N,Y
,Kracum,  2018/11/14,Violin/Viola Recital,MUSC,20,N,N,L,L,L,L,N,Y
,Puzak,  2018/11/14,Chinese Music Studio Recital,MUSC,28,Y,N,L,L,L,L,N,Y
,Kracum,  2018/11/14,CSA: Singing Knights,CSA,172,N,N,L,L,L,L,N,Y
,Kracum,  2018/11/15,CSA: Accidentals & Cujorka,CSA,110,N,N,L,L,L,L,N,Y
