WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,PROJECTION,VIDEO RECORDING
,Concert Hall,  2016/04/08,GUEST: Light Lectureship w/ Dan Trueman,MUSC,NA,Y,NA,NA,NA,NA,NA,NA
,Concert Hall,  2016/04/23,Junior Voice Recital,MUSC,50,Y,N,L,L,L,N,Y
,Concert Hall,  2016/04/23,Piano Studio Recital,MUSC,19,Y,N,L,L,L,N,N
,Concert Hall,  2016/04/24,Faculty Organ Recital,MUSC,85,N,Y,L,L,L,N,N
,Concert Hall,  2016/04/29,Piano Recital: Shen & Luo,MUSC,50,Y,N,L,L,L,N,Y
,Concert Hall,  2016/04/29,Piano Recital: Chapman,MUSC,36,Y,N,L,L,L,N,N
,Concert Hall,  2016/05/05,GUEST: Diawara,MUSC,270,N,Y,H,H,H,N,N
,Concert Hall,  2016/05/07,Jazz Concert,MUSC,76,Y,Y,H,M,H,N,N
,Concert Hall,  2016/05/08,Voyage of the Seasons,MUSC,18,Y,Y,L,L,L,N,N
,Concert Hall,  2016/05/08,Senior Voice Recital,MUSC,63,Y,Y,M,M,M,N,N
,Weitz Commons,  2016/05/13,Weitz Construction Launch,WCC,NA,NA,NA,H,H,H,NA,NA
,Concert Hall,  2016/05/13,Symphony Band,MUSC,80,Y,Y,H,L,H,Y,N
,Concert Hall,  2016/05/14,Senior Violin Recital: Katie Kozais,MUSC,Y,N,N,L,L,L,N,N
,Concert Hall,  2016/05/14,Junior Recital: Lowry,MUSC,35,Y,Y,L,L,L,N,Y
,Concert Hall,  2016/05/14,Senior Voice Recital,MUSC,43,Y,N,L,L,L,N,Y
,Concert Hall,  2016/05/15,Chinese Music Ensemble,MUSC,85,Y,Y,H,M,H,N,Y
,Concert Hall,  2016/05/18,Senior Recital: Mastrianni,MUSC,35,Y,Y,L,L,L,N,Y
,Concert Hall,  2016/05/20,Choir Concert,MUSC,44,Y,Y,NA,NA,NA,NA,NA
,Concert Hall,  2016/05/22,GUEST: Burnett & Campbell,MUSC,105,Y,NA,L,L,L,NA,NA
,Concert Hall,  2016/05/25,Chamber Music Recital,MUSC,NA,Y,N,M,M,M,N,N
,Concert Hall,  2016/05/25,Piano Studio Recital,MUSC,32,Y,N,L,L,L,N,N
,Concert Hall,  2016/05/27,Orchestra Concert,MUSC,168,Y,Y,H,L,H,N,Y
,Bald Spot,  2016/05/31,West African Drum Ensemble,MUSC,NA,NA,NA,M,M,M,N,NA
,Concert Hall,  2016/06/01,Violin/Viola Recital,MUSC,12,Y,N,L,L,L,N,N
,Concert Hall,  2016/06/02,Student A Cappella,CSA,NA,NA,NA,NA,NA,NA,NA,NA
,Northfield Theater,  2016/07/31,Vaudeville Show,Northfiled Arts Guild,NA,NA,NA,NA,NA,NA,NA,NA
