WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2018/04/07,GUEST: The Singers Concert,MUSC,190,N,N,M,L,M,L,N,Y
,Kracum,  2018/04/12,Accepted Students Day,Admissions,NA,N,N,L,L,L,L,N,N
,Applebaum,  2018/04/14,Music Fest,MUSC,70,N,Y,M,M,M,L,Y,Y
,Kracum,  2018/02/22,GUEST: Music for Two Pianos,MUSC,78,Y,N,L,L,L,L,N,Y
,Kracum,  2018/04/28,GUEST: Issam Rafea Concert,MUSC,116,N,Y,L,L,L,L,N,Y
,Kracum,  2018/05/02,GUEST: SPCO Concert,MUSC,374,Y,Y,H,L,H,H,N,N
,Applebaum,  2018/05/05,Senior Harpsichord Recital,MUSC,27,N,N,L,L,L,L,N,Y
,Kracum,  2018/05/04,CSA: Pied Pipers,CSA,116,N,N,L,L,L,L,N,N
,Applebaum,  2018/05/05,Senior Vionlin & Piano Recital,MUSC,31,Y,N,M,L,M,M,N,Y
,Kracum,  2018/05/09,GUEST: Jonathan Kreisberg Trio,MUSC,90,Y,N,L,L,L,L,N,Y
,Kracum,  2018/05/11,Symphony Concert,MUSC,89,Y,N,H,M,H,L,N,Y
,Kracum,  2018/05/12,Senior Recital: Lucy Wu & Jim Zhang,MUSC,18,N,Y,L,L,L,L,N,Y
,Applebaum,  2018/05/12,Senior Recital: Hanson & Harris,MUSC,31,N,N,L,L,L,L,N,Y
,Applebaum,  2018/05/12,Voice Showcase Recital,MUSC,38,N,Y,L,L,L,L,Y,Y
,Applebaum,  2018/05/13,Senior Violin Recital: Anton Sack,MUSC,27,Y,N,L,L,L,L,N,Y
,Applebaum,  2018/05/13,Senior Bassoon Recital: Micah Nacht,MUSC,26,Y,N,L,L,L,L,N,Y
,Kracum,  2018/05/15,GUEST: Bhairav Se Bhairavi Tak,MUSC,90,N,Y,M,M,M,L,N,N
,Kracum,  2018/05/16,Senior Jazz Recital: Aman Panda,MUSC,29,Y,N,M,M,L,L,N,Y
,Kracum,  2018/05/18,Choir Concert,MUSC,175,Y,N,M,L,H,L,Y,Y
,Applebaum,  2018/05/19,Junior Voice Recital: Koh Zhi You,MUSC,22,Y,N,L,L,L,L,N,Y
,Applebaum,  2018/05/19,Senior Trumpet Recital: Andrew Wheeler,MUSC,12,Y,N,L,L,L,L,N,Y
,Kracum,  2018/05/20,Chinese & Global Music Concert,MUSC,90,Y,N,H,H,H,M,Y,Y
,Shackel,  2018/05/20,Jazz Concert,MUSC,95,Y,N,H,H,H,M,N,Y
,Applebaum,  2018/05/20,Senior Baritone Recital: Alyk Kenlan,MUSC,NA,Y,N,L,L,L,L,N,NA
,Kracum,  2018/05/20,CSA: Intertwining Melodies,MUSC,48,N,N,M,M,L,L,N,N
,Kracum,  2018/02/28,Piano Studios Recital,MUSC,60,Y,Y,L,L,L,L,N,Y
,Applebaum,  2018/05/24,Senior Voice Recital: Diana Delgado,MUSC,10,Y,N,L,L,L,L,N,Y
,Kracum,  2018/05/25,Orchestra Concert,MUSC,275,Y,N,H,L,H,L,N,Y
,Applebaum,  2018/05/26,Senior Voice Recital: Estelle Bayer,MUSC,16,N,N,L,L,L,L,N,Y
,Applebaum,  2018/05/23,Chamber Music Recital I,MUSC,33,Y,N,M,L,M,L,N,Y
,Applebaum,  2018/05/27,Chamber Music Recital II,MUSC,24,Y,N,M,L,M,L,N,Y
,Kracum,  2018/05/27,CSA: Just Cellin',MUSC,NA,N,N,L,L,L,L,N,N
,Kracum,  2018/05/30,Violin & Viola Recital,MUSC,30,Y,N,L,L,L,L,N,Y
,Kracum,  2018/05/30,CSA: Singing Knights,MUSC,118,N,N,L,L,L,L,N,N
,Kracum,  2018/05/31,CSA: Accidentals,MUSC,134,N,N,L,L,L,L,N,N
