WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV STAFF,PAC STAFF,"SUPPORT 
LEVEL","AUDIO 
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
2,Weitz Cinema,  2024/04/03,GUEST: Susanne Farrin Lecture,MUSC,1,1,2,L,L,L,L,Y,N,N,11,Y,Y,N
,Applebaum,  2024/04/06,GUEST: Susanne Farrin - Masterclass,MUSC,1,1,3,L,L,L,L,N,N,N,15,N,N,N
,Kracum ,  2024/04/05,GUEST: Susanne Farrin & EDN - Concert,MUSC,3,4,6,H,H,M,H,N,Y,N,50,N,N,Y
3,Kracum ,  2024/04/12,GUEST: Christopher Taylor - Concert (piano),MUSC,2,3,5,L,L,M,L,N,Y,N,133,Y,Y,N
,Kracum ,  2024/04/13,Music Comps Festival ,MUSC,2,3,3,M,M,M,L,N,Y,Y,65,Y,Y,Y
,Applebaum,  2024/04/13,GUEST: Christopher Taylor - Masterclass,MUSC,1,0,3,L,L,L,L,N,N,N,7,N,N,N
4,Kracum ,  2024/04/19,GUEST: John Kani Panel/Roundtable,"ODOA, HIST, THD",1,4,4,M,M,M,L,N,Y,N,107,N,N,Y
,Kracum ,  2024/04/20,GUEST: Les Arrivants,MUSC,1,3,6,M,H,M,L,N,Y,N,55,Y,Y,N
5,Kracum ,  2024/04/21,International Festival - Performance,ISL,1,4,8,H,H,H,H,N,Y,N,175,Y,N,Y
6,Kracum ,  2024/05/03,ACA Night,MUSC,2,5,7,H,H,H,H,Y,Y,N,170,N,N,Y
,Applebaum,  2024/05/05,Ammy Lin Student Recital,MUSC,1,1,2,L,L,L,L,N,Y,N,55,N,Y,Y
,Applebaum,  2024/05/05,Roskopf  Paul Student Recital,MUSC,1,2,2,L,L,L,L,N,Y,N,30,N,Y,N
7,Kracum ,  2024/05/11,Voice Showcase Recital,MUSC,1,3,4,M,M,L,L,Y,Y,N,85,Y,Y,N
,Kracum ,  2024/05/11,GUEST: Charlie Parr,MUSC,1,3,4,M,M,M,L,N,N,N,27,N,N,Y
,Kracum ,  2024/05/11,Remembering Melinda Russell,MUSC,1,2,4,L,L,L,L,Y,Y,N,32,N,N,N
,Kracum ,  2024/05/10,Symphony Concert,MUSC,1,3,5,H,M,H,H,Y,Y,Y,97,Y,Y,N
8,Kracum ,2024/05/16,Jazz Concert,MUSC,1,3,4,H,H,H,M,Y,Y,Y,95,Y,Y,N
,Kracum ,  2024/05/17,Chinese and Global,MUSC,1,2,4,H,H,H,H,N,Y,Y,116,Y,Y,N
,Applebaum,  2024/05/19,Petrini/Wurst Student Recital,MUSC,1,3,3,H,H,M,L,N,Y,N,34,N,N,N
9,Kracum ,  2024/05/22,Piano Studio Recital,MUSC,1,2,5,L,L,L,L,N,Y,Y,45,N,Y,N
,Applebaum,  2024/05/23,Jazz Chamber,MUSC,1,2,4,H,H,H,L,N,Y,Y,56,Y,Y,N
,Kracum ,  2024/05/24,Orchestra and Choir,MUSC,1,3,5,H,H,H,L,Y,Y,Y,443,Y,Y,N
,Kracum ,  2024/05/26,Chamber Music,MUSC,1,3,5,H,H,H,L,N,Y,N,43,Y,Y,N
10,Applebaum,  2024/05/26,CSA: Just Cellin,CSA,1,1,2,L,L,L,L,N,Y,N,16,N,N,N
,Applebaum,  2024/05/27,Johnson Recital,MUSC,1,1,2,L,L,L,L,Y,N,N,3,N,Y,N
,Applebaum,  2024/05/27,Verma Jameson Recital,MUSC,1,0,1,L,L,L,L,Y,N,N,20,N,Y,N
,Weitz Commons,  2024/05/28,World Drum Recital,MUSC,1,0,1,L,L,L,L,N,N,N,45,,N,N
,Kracum,  2024/05/28,"Composition Showcase Recital - Set Up, Rehearsal & Concert",MUSC,1,3,4,H,H,H,L,N,Y,Y,46,,Y,N
,Skinner Chapel,  2024/05/28,Zimmerman - Organ Student Recital,MUSC,1,1,2,L,L,L,L,N,Y,N,12,,Y,N
,Kracum,  2024/05/29,Strings Recital,MUSC,1,2,4,L,M,L,L,N,Y,N,5,,Y,N
,Applebaum,  2024/05/29,Chinese Music Studio Recital,MUSC,1,2,4,L,L,L,L,N,Y,N,25,,Y,N
