WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2018/01/19,ODOA: Katha Dance Theater,ODOA,70,N,N,L,M,L,L,N,N
,Kracum,  2018/01/25,ODOA & Northfiled Arts Guild: Zeitgeist,ODOA & Northfiled Arts Guild,113,Y,N,L,L,L,L,N,N
,Kracum,  2018/02/09,GUEST: Anna Meredith Concert,MUSC,160,N,Y,M,M,M,L,Y,N
,Kracum,  2018/02/10,GUEST: Anna Meredith Masterclass,MUSC,22,N,Y,L,L,L,L,N,N
,Kracum,  2018/02/10,CSA: Pied Pipers,CSA,96,N,N,L,L,L,L,N,N
,Kracum,  2018/02/16,Symphony Concert,MUSC,91,Y,N,L,L,L,L,Y,Y
,Kracum,  2018/02/17,Voice Showcase Recital,MUSC,46,N,N,L,L,L,L,Y,Y
,Kracum,  2018/02/18,Chinese Ensemble Concert,MUSC,128,Y,N,H,L,H,L,N,Y
,Kracum,  2018/02/21,Choir & Jazz Rehearsal,MUSC,NA,N,N,H,H,H,L,N,N
,Kracum,  2018/02/22,CSA: Folk Music Society,CSA & MUSC,90,N,N,M,L,M,M,N,N
,Kracum,  2018/02/23,CSA: Accidentals,CSA,75,N,N,L,L,L,L,N,N
,Kracum,  2018/02/25,Choir & Jazz Concert,MUSC,233,Y,Y,H,H,H,L,N,Y
,Kracum,  2018/02/28,Chamber Music Recital I,MUSC,28,Y,N,L,M,L,L,N,Y
,Kracum,  2018/02/28,Piano Studio Recital,MUSC,35,Y,N,L,L,L,L,N,Y
,Kracum,  2018/03/02,Orchestra Concert,MUSC,231,Y,N,M,L,M,L,N,Y
,Kracum,  2018/03/03,Jazz Vocal Concert & Exit 69,MUSC,206,N,N,L,L,L,L,N,Y
,Kracum,  2018/03/04,Chamber Music Recital II,MUSC,84,Y,N,M,M,M,L,N,Y
,Kracum,  2018/03/04,Senior Voice Recital,MUSC,8,N,N,L,L,L,L,N,Y
,Kracum,  2018/03/07,Violin & Viola Recital,MUSC,20,Y,N,L,L,L,L,N,Y
,Kracum,  2018/03/07,CSA: Just Cellin' & Intertwining Melodies Concert,CSA,95,N,N,L,L,L,L,N,N
,Kracum,  2018/03/09,CSA: Singing Knights & St. Olaf Limestones,CSA,211,N,N,L,L,L,L,N,Y
