WK,VENUE,DATE,DEPARTMENT,WHAT,PAC STAFF,AV STAFF,"SUPPORT 
LEVEL",DAYS COMMITTED,POSTER,PROGRAM,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,"AUDIO 
NEEDS",LIGHTING NEEDS,STAGE NEEDS,RECEPTION,AUDIENCE COUNT
2,Kracum,  2023/01/14,MUSC,GUEST: Erin Keefe - Masterclass,3,0,L,1,N,N,N,N,N,L,L,L,N,N/A
,Kracum,  2023/01/15,MUSC,GUEST: Erin Keefe Concert,5,1,L,2,Y,Y,N,Y,N,L,L,L,N,99
3,Kracum,  2023/01/21,CSA,ASIA Lunar New Year Performance,4,1,H,1,N,N,Y,Y,N,H,H,L,N,335
4,Kracum,  2023/01/29,MUSC,Faculty Recital: Greg Beyers,6,2,M,1,Y,Y,N,Y,N,H,M,M,N,32
5,Kracum,  2023/02/04,MUSC,EDN Concert,5,3,H,1,Y,Y,N,Y,N,H,M,H,N,NA
,Kracum,  2023/02/05,MUSC,EDN Masterclass,4,4,M,1,N,N,N,N,N,M,L,M,N,N/A
6,Kracum,  2023/02/11,PRES,Trustees Meeting - Strategic Retreat,0,1,L,1,N,N,Y,N,N,L,L,L,N,N/A
,Applebaum,  2023/02/11,MUSC,GUEST: Joan Griffith ,4,2,L,1,Y,Y,N,Y,N,L,L,L,N,40
7,Kracum,  2023/02/16,MUSC,Ensemble Clinic w/ Copper Street Brass,1,1,H,1,N,N,Y,Y,N,L,L,M,Y,NA
,Kracum,  2023/02/17,MUSC,Symphony & GUEST: CSB Concert,6,4,H,2,Y,Y,N,Y,Y,M,M,H,N,130
,Kracum,  2023/02/18,MUSC,Voice Showcase Recital,4,3,L,2,Y,N,Y,Y,Y,L,L,L,N,28
,Kracum,  2023/02/19,MUSC,Chinese & Global Music Concert,6,2,H,2,Y,Y,N,Y,Y,H,M,H,N,103
8,Kracum,  2023/02/23,MUSC,Jazz Concert,4,5,H,2,Y,Y,N,Y,Y,H,M,H,Y,150
,Applebaum,  2023/02/24,MUSC,Anwesha Mukherji - Student Recital ,2,1,L,1,N,Y,N,Y,N,L,L,L,N,27
,Kracum,  2023/02/26,CSA,Just Cellin Concert,0,1,L,1,N,N,N,Y,N,L,L,L,N,N/A
,Applebaum,  2023/02/26,MUSC,Dovrak Lecture Recital,1,2,L,1,Y,N,Y,Y,N,L,L,L,N,40
9,Kracum,  2023/03/01,MUSC,Piano Studio Recital ,4,3,L,1,Y,Y,N,Y,Y,L,L,L,N,50
,Applebaum,  2023/03/02,MUSC,Jazz Chamber Recitals (2),3,2,M,1,Y,Y,N,Y,Y,H,L,M,N,108
,Kracum,  2023/03/03,MUSC,Orchestra Concert,5,2,M,2,Y,Y,N,Y,Y,L,L,M,N,217
,Kracum,  2023/03/04,MUSC,Choir Concert,5,3,M,1,Y,Y,N,Y,Y,L,L,M,N,240
,Kracum,  2023/03/05,MUSC,Chamber Music Recital,5,3,M,1,Y,Y,N,Y,Y,L,L,M,N,52
,Kracum,  2023/03/05,CSA,Knights & Knightingales Concert,2,4,M,1,N,N,N,Y,N,M,M,L,N,136
10,Applebaum,  2023/03/06,MUSC,Chinese Music Studio Recital,3,2,L,1,Y,Y,N,Y,N,L,L,M,N,13
,Kracum,  2023/03/07,MUSC,Composition Showcase Recital ,4,4,M,1,Y,Y,Y,Y,N,M,M,M,N,32
,Skinner Chapel,  2023/03/07,MUSC,Organ Recital,2,1,L,1,Y,N,N,Y,N,L,L,L,N,35
,Kracum,  2023/03/08,MUSC,Strings Recital,4,2,L,1,Y,Y,N,Y,N,L,L,L,N,36
,Kracum,  2023/03/09,CSA,Accidentals & Exit 69 Concert,2,3,M,1,N,N,N,Y,N,M,M,L,N,68
