WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
0,"Kracum, Shackel, Applebaum",  2022/09/07,Music Fest,MUSC,1,1,1,L,L,L,L,Y,N,N,NA,N,N,N
2,Kracum,  2022/09/24,GUEST: Phil Chan Ballet ,ODOA,4,2,5,H,L,H,H,Y,Y,N,NA,N,N,N
3,Kracum,  2022/10/01,MCAN IDE Panel & Student Panel,PRES,1,1,0,L,L,L,L,Y,N,N,NA,N,N,N
4,Kracum,  2022/10/07,Facutly Recital: Natalia Moisseva & Ivan Konev,MUSC,1,2,7,L,L,L,L,N,Y,N,57,Y,Y,N
,Applebaum,  2022/10/07,GUEST: Gary Briggle - Voice Masterclass,MUSC,1,1,1,L,L,L,L,N,N,N,NA,N,N,N
5,Kracum,  2022/10/13,GUEST: SPCO,MUSC,1,1,4,H,L,H,L,N,N,N,226,Y,N,N
,Kracum,  2022/10/14,Music Department Showcase,MUSC,1,4,5,H,H,H,M,N,Y,Y,225,Y,Y,Y
6,Kracum,  2022/10/21,Facutly Recital: Nikki Melville & Matt McCright,MUSC,2,2,8,L,L,L,L,N,Y,N,64,Y,Y,N
,Applebaum,  2022/10/22,CSA Concert - Pied Pipers,CSA,1,2,2,L,L,L,L,N,Y,N,NA,N,N,N
,Kracum,  2022/10/23,Facutly Recital: Carson King-Fournier,MUSC,1,2,5,M,L,M,M,N,Y,Y,47,Y,Y,N
7,Kracum,  2022/10/28,Symphony Concert,MUSC,2,3,6,M,L,M,M,Y,Y,Y,140,Y,Y,N
,Kracum,  2022/10/29,Voice Showcase Recital,MUSC,2,2,6,L,L,L,L,Y,Y,Y,34,Y,N,N
,Kracum,  2022/10/30,Chinese & Global Music Concert,MUSC,2,3,6,H,H,M,M,N,Y,Y,136,Y,Y,N
8,Kracum,  2022/11/03,Jazz Concert,MUSC,2,3,5,H,H,H,M,Y,Y,Y,127,Y,Y,Y
,Applebaum,  2022/11/04,French Music Performance,French Dept,1,2,0,M,M,L,L,Y,Y,N,NA,N,N,N
,Kracum ,  2022/11/05,Date Knight: Accapella Performance ,CSA,1,2,2,M,M,L,M,N,Y,N,NA,N,N,N
,Kracum,  2022/11/06,Choir Concert,MUSC,2,2,5,M,L,M,L,Y,Y,Y,169,Y,Y,N
,Kracum,  2022/11/06,Just Cellin Concert (CSA),CSA,1,1,2,L,L,L,L,N,Y,N,NA,N,N,N
9,Kracum,  2022/11/07,President's Quartly Meeting,PRES,1,2,0,L,L,L,L,Y,Y,N,NA,N,N,N
,Kracum,  2022/11/09,Piano Studio Recital ,MUSC,1,2,4,L,L,L,L,N,Y,N,31,N,N,N
,Applebaum,  2022/11/10,Jazz Chamber Recitals (2),MUSC,1,2,4,M,H,M,L,N,Y,N,43,Y,Y,N
,Kracum,  2022/11/11,Orchestra Concert,MUSC,2,3,5,M,L,M,L,N,Y,Y,202,Y,Y,N
,Kracum,  2022/11/13,Chamber Music Recital,MUSC,1,3,5,M,L,M,L,N,Y,Y,51,N,Y,N
10,Kracum,  2022/11/14,Knights & Exit 69 Concert (CSA),CSA,1,2,3,M,M,L,M,N,Y,N,134,N,N,N
,Kracum,  2022/11/15,Composition Recital ,MUSC,1,1,3,L,L,L,M,N,Y,N,10,Y,Y,N
,Skinner Chapel,  2022/11/15,Organ & Harpichord Recital,MUSC,1,1,2,L,L,L,L,N,Y,N,17,Y,Y,N
,Kracum,  2022/11/16,Strings Recital,MUSC,1,1,4,L,L,L,L,N,Y,N,39,N,Y,N
,Kracum,  2022/11/16,Knightingales Concert (CSA),CSA,1,4,2,M,M,L,M,N,Y,N,NA,N,N,N
,Applebaum,  2022/11/16,Chinese Music Studio Recital,MUSC,1,1,2,M,M,M,L,N,Y,N,22,Y,Y,N
