WK,VENUE,DATE,WHAT,DEPARTMENT,"SUPPORT 
LEVEL",DAYS COMMITTED,POSTER,PROGRAM,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,"AUDIO 
NEEDS",LIGHTING NEEDS,STAGE NEEDS,RECEPTION,PAC STAFF,AV STAFF,AUDIENCE COUNT
0,Kracum,  2023/09/06,Music Fest,MUSC,L,1,N,N,Y,N,N,L,L,L,N,3,2,NA
3,Kracum,  2023/09/29,GUEST: Laura Viers - Concert (guitar & voice),MUSC,L,1,Y,Y,N,Y,N,M,M,L,Y,5,3,50
,Kracum,  2023/10/01,Fall Faculty Gala - Concert ,MUSC,H,2,Y,Y,N,Y,N,M,M,M,Y,7,3,83
4,Applebaum,  2023/10/03,Mazariello Concert,MUSC,L,1,N,N,Y,Y,N,,,,N,3,3,31
,Kracum,  2023/10/06,GUEST: Sequentia - Concert (voice),"History, ODOA, MUSC",H,2,Y,Y,Y,Y,N,,,,N,6,3,187
,Applebaum,  2023/10/07,GUEST: Helen Chang Masterclass,MSUC,L,,,,,,,,,,,1,1,NA
,Kracum,  2023/10/08,"GUEST: Helen Chang Concert (violin, piano, cello)",MUSC,L,1,Y,Y,N,Y,N,,,,Y,6,2,43
5,Kracum,  2023/10/13,Student Talent Showcase,MUSC,H,1,Y,Y,N,Y,Y,,,,Y,6,3,335
6,Kracum,  2023/10/19,GUEST: SPCO - Concert,MUSC,H,1,Y,N,N,N,N,,,,N,5,2,260
,Kracum,  2023/10/20,GUEST: Joe Rainey - Concert,ODOA,M,1,Y,Y,N,N,N,,,,N,5,3,146
,Kracum,  2023/10/21,GUEST: Mohammed Bin Faris - Concert,"History, ODOA",M,1,Y,Y,N,Y,N,,,,Y,5,2,120
7,Kracum,  2023/10/28,Chinese & Global Music Concert,MUSC,H,2,Y,Y,N,N,Y,,,,N,5,2,87
,Applebaum,  2023/10/28,Voice Showcase Recital,MUSC,L,2,Y,Y,Y,Y,Y,,,,N,3,2,NA
,Kracum,  2023/10/29,GUEST: Voces8 - Masterclasses,MUSC,M,1,N,N,N,N,N,,,,N,3,2,NA
,Kracum,  2023/10/29,GUEST: Voces8 - Concert,MUSC,H,1,Y,Y,N,Y,N,,,,Y,9,2,277
8,Kracum,  2023/10/31,GUEST: Sophie Lukacs Concert (kora),MUSC/ODOA,L,1,N,N,,,,,,,,1,NA,60
,Kracum,  2023/11/01,President's Quarterly Meeting,PRES,L,1,N,N,,,,,,,,0,1,NA
,Kracum,  2023/11/02,Jazz Concert,MUSC,H,2,Y,Y,N,Y,Y,,,,Y,5,3,92
,Kracum,  2023/11/03,Symphony Concert,MUSC,H,2,Y,Y,Y,Y,Y,,,,N,5,3,88
,Applebaum,  2023/11/04,CSA Just Cellin Concert (7:30P-8:30P),CSA,L,1,Y,N,N,Y,N,,,,N,3,1,NA
,Kracum,  2023/11/05,Choir Concert,MUSC,M,1,Y,Y,N,Y,Y,,,,N,5,3,130
9,Kracum,  2023/11/08,"Piano Studio Recital - Tuning, Rehearsal & Concert",MUSC,L,1,Y,Y,N,Y,Y,,,,N,4,1,50
,Applebaum,  2023/11/09,Jazz Chamber Recital,MUSC,M,1,Y,Y,N,Y,Y,,,,N,4,2,59
,Kracum,  2023/11/10,Orchestra Concert,MUSC,M,1,Y,Y,N,Y,Y,,,,N,5,3,300
,Kracum,  2023/11/12,Chamber Music Recital,MUSC,M,1,Y,Y,N,Y,Y,,,,N,5,2,40
,Kracum,  2023/11/12,CSA Knights & Accidentals ,CSA,L,1,N,N,N,Y,N,,,,N,3,1,115
10,Kracum,  2023/11/14,"Composition Showcase Recital - Set Up, Rehearsal & Concert",MUSC,M,1,Y,Y,Y,Y,Y,,,,N,4,1,50
,Skinner Chapel,  2023/11/14,Organ & Harpichord Recital,MUSC,L,1,Y,N,N,Y,N,,,,N,2,1,36
,Kracum,  2023/11/15,Strings Recital,MUSC,L,1,Y,N,N,Y,N,,,,N,4,2,20
,Applebaum,  2023/11/15,Chinese Music Studio Recital,MUSC,L,1,Y,Y,N,N,N,,,,N,4,2,20
,Kracum,  2023/11/04,CSA Knightingales,CSA,L,1,Y,Y,N,Y,N,,,,N,2,2,66
