WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,PROJECTION,VIDEO RECORDING
,Concert Hall,  2017/04/07,Faculty Recital: Gao & African String Quartet,MUSC,132,Y,Y,L,L,L,Y,Y
,Concert Hall,  2017/04/11,Third Coast Percussion,ODOA,176,Y,Y,H,H,H,N,N
,Concert Hall,  2017/04/14,Faculty Recital: Nikki Melville,MUSC,57,Y,Y,L,L,L,N,N
,Concert Hall,  2017/04/15,Senior Comps Presentation,MUSC,NA,N,Y,M,L,H,Y,Y
,Concert Hall,  2017/04/28,GUEST: Malcol Bilson,MUSC,102,Y,Y,L,L,L,N,N
,Concert Hall,  2017/04/29,CSA: Peter and the Wolf,CSA,148,NA,NA,L,L,L,N,N
,Concert Hall,  2017/05/06,Senior Recital: Molly Hildreth,MUSC,32,NA,Y,L,L,L,N,Y
,Concert Hall,  2017/05/06,Voice Showcase Recital,MUSC,38,N,Y,L,L,L,N,Y
,Concert Hall,  2017/05/07,Senior Piano Recital: Kaylee Shiao,MUSC,44,NA,Y,L,L,M,N,Y
,Concert Hall,  2017/05/12,Symphony Concert,MUSC,102,Y,Y,L,L,L,N,N
,Concert Hall,  2017/05/13,Senior Guzheng Recital: Yifan Wu,MUSC,35,NA,Y,L,L,M,N,Y
,Concert Hall,  2017/05/14,Senior Piano Recital: Joe Lowry,MUSC,24,NA,Y,L,L,L,N,Y
,Concert Hall,  2017/05/19,Chinese Music Ensemble,MUSC,88,Y,Y,M,L,M,N,Y
,Concert Hall,  2017/05/21,Jazz Concert,MUSC,84,Y,Y,M,L,M,N,N
,Concert Hall,  2017/05/24,Piano Studio Recital,MUSC,61,Y,Y,L,L,L,N,N
,Concert Hall,  2017/05/26,Orchestra Concert,MUSC,NA,Y,Y,L,L,L,N,Y
,Concert Hall,  2017/05/28,Chamber Music Recital,MUSC,31,Y,N,L,L,L,N,N
,Concert Hall,  2017/05/28,CSA: Just Cellin',MUSC,82,NA,NA,L,L,L,NA,NA
,Concert Hall,  2017/05/29,Junior Recital: Zhi You,MUSC,13,NA,N,L,L,L,N,Y
,Concert Hall,  2017/05/29,Violin/Viola Recital,MUSC,NA,Y,N,L,L,L,N,N
,Sayles Hill,  2017/05/30,West African Drum Ensemble,MUSC,NA,N,N,L,M,L,N,N
,Concert Hall,  2017/05/30,Middle Eastern Music Ensemble,MUSC,NA,Y,NA,M,M,L,N,Y
,Concert Hall,  2017/05/31,CSA: Carleton Singing Knights,CSA,176,NA,NA,L,L,L,N,N
