WK,VENUE,DATE,DEPARTMENT,WHAT,"SUPPORT 
LEVEL",PAC STAFF,AV STAFF,DAYS COMMITTED,POSTER,PROGRAM,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,"AUDIO 
NEEDS",LIGHTING NEEDS,STAGE NEEDS,RECEPTION,AUDIENCE COUNT
2,Kracum,  2023/04/06,Office of Fellowships,Office of Student Fellowships Presentation,,0,1,,,,,,,,,,,
2,Kracum,  2023/04/07,MUSC,GUEST: Sara Davis Buechner - Concert,,5,3,1,Y,Y,N,Y,N,,,,N,112
2,Kracum,  2023/04/08,MUSC,GUEST: Sara Davis Buechner - Masterclass,,4,2,1,N,N,N,N,N,,,,N,-
3,Kracum,  2023/04/11,Pres. Office,Employee Recognition Event,,0,1,,,,,,,,,,,
3,Kracum,  2023/04/12,MUSC,GUEST: Leonard Jacome - Masterclass,,1,1,,,,,,,,,,,
3,Kracum,  2023/04/14,Admissions,Admitted Student Experience,,0,0,,,,,,,,,,,
3,Applebaum,  2023/04/15,MUSC,Music Comps Festival ,,4,3,2,Y,Y,Y,N,N,,,,N,100
3,Kracum,  2023/04/15,MUSC,GUEST: Leonard Jacome - Concert,,5,4,1,Y,Y,N,Y,N,,,,N,96
4,Kracum,  2023/04/22,CSA,ACA Night Performance,,6,5,2,N,Y,Y,Y,N,,,,N,275
5,Kracum,  2023/04/28,MUSC,GUEST: Emery Stephens - Concert,,7,4,3,N,,Y,Y,N,,,,N,
6,Applebaum,  2023/05/06,MUSC,Ron Rodman - Symposium,,4,3,2,Y,,Y,Y,Y,,,,Y,
6,Kracum,  2023/05/07,MUSC,"Rodman Electric Theater, 1923 - Concert",,6,4,2,Y,Y,Y,Y,N,,,,N,67
7,Kracum,  2023/05/11,MUSC,Carleton & St Olaf Chamber Choir Concert,,5,2,1,Y,Y,N,Y,,,,,N,180
7,Kracum,  2023/05/13,MUSC,Chinese & Global Music Concert,,3,3,1,Y,Y,N,Y,N,,,,N,74
7,Kracum,  2023/05/13,MUSC,Voice Showcase Recital,,4,3,2,Y,Y,Y,Y,Y,,,,N,55
7,Applebaum,  2023/05/14,MUSC,GUEST: Bamako Foli Masterclass ,,6,4,1,N,N,N ,N,N,,,,N,135
7,Kracum,  2023/05/14,MUSC,GUEST:  Bamako Foli Concert,,6,4,2,Y,N,N,Y,N,,,,N,135
8,Kracum,  2023/05/17,Pres. Office,Presidents Quartly Meeting,,0,1,1,,,,,,,,,,
8,Applebaum,  2023/05/18,MUSC,Rainer Polak Lecture,,1,0,1,,,,,,,,,,
8,Kracum,  2023/05/18,MUSC,Jazz Concert,,5,5,2,Y,Y,N,Y,Y,,,,N,198
8,Kracum,  2023/05/19,MUSC,Choir Concert,,5,4,1,Y,Y,N,Y,Y,,,,N,251
8,Applebaum,  2023/05/21,MUSC,Ben Chao - Student Recital (Jazz Chamber),,3,2,1,N,N,N,Y,N,,,,N,20
8,Applebaum,  2023/05/21,MUSC,Jazz Chamber Recital #1,,3,2,1,Y,Y,N,N,N,,,,N,18
8,Applebaum,  2023/05/21,MUSC,Helen Jin-Lee - Student Recital (Piano),,2,1,1,N,Y,N,Y,N,,,,N,35
8,Kracum,  2023/05/21,MUSC,Symphony Concert,,5,3,1,Y,Y,N,Y,Y,,,,Y,109
9,Kracum,  2023/05/24,MUSC,Piano Studio Recital ,,5,1,1,Y,Y,N,Y,Y,,,,N,44
9,Applebaum,  2023/05/25,MUSC,Jazz Chamber Recital #2,,5,2,1,Y,Y,N,N, N,,,,N,73
9,Applebaum,  2023/05/26,MUSC,Eleanor Chen - Student Recital,,2,1,1,N,Y,N,Y,N,,,,N,27
9,Kracum,  2023/05/26,MUSC,Orchestra Concert,,5,3,1,Y,Y,N,Y,Y,,,,N,220
9,Applebaum,  2023/05/27,MUSC,Wenlai Han - Student Recital,,2,1,1,N,Y,Y,Y,N,,,,N,29
9,Applebaum,  2023/05/27,MUSC,Adela D & Ammy L - Joint Student Recital,,2,2,1,N,Y,Y,Y,N,,,,N,32
9,Applebaum,  2023/05/28,MUSC,Nora Caballero - Student Recital,,3,2,1,N,Y,N,Y,N,,,,N,31
9,Kracum,  2023/05/28,MUSC,Chamber Music Recital,,5,2,1,Y,N,N,Y,Y,,,,N,62
9,Kracum,  2023/05/28,MUSC,Shannon Liu & Helen Hu - Joint Student Recital,,4,2,1,N,Y,N,Y,Y,,,,N,33
10,Kracum,  2023/05/29,MUSC/THD,Tate Russel - Student Recital/Prodcution,,4,4,1,N,Y,N,Y,N,,,,N,50
10,Skinner Chapel,  2023/05/30,MUSC,Jaclyn Appel - Student Organ Recital,,2,1,1,Y,N,Y,Y,N,,,,N,53
10,Kracum,  2023/05/30,MUSC,Composition Showcase Recital ,,5,3,1,Y,Y,N,Y,N,,,,N,47
10,Kracum,  2023/05/31,MUSC,Strings Recital,,5,2,1,Y,Y,N,Y,N,,,,N,42
10,Applebaum,  2023/05/31,MUSC,Chinese Music Studio Recital,,2,2,1,Y,Y,N,N,N,,,,N,11
10,Applebaum,  2023/05/31,MUSC,Lily Li - Student Recital (Voice w/ Piano),,3,2,1,N,Y,N,Y,N,,,,N,10
10,Kracum,  2023/05/31,CSA,Exit 69 - CSA Concert,,2,4,1,N,N,N,Y,N,,,,N,66
