WK,VENUE,DATE,WHAT,DEPARTMENT,"SUPPORT 
LEVEL",DAYS COMMITTED,POSTER,PROGRAM,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,"AUDIO 
NEEDS",LIGHTING NEEDS,STAGE NEEDS,RECEPTION,PAC STAFF,AV STAFF,AUDIENCE COUNT
2,Weitz Cinema,  2024/04/03,GUEST: Susanne Farrin Lecture,MUSC,L,1,Y,Y,Y,N,N,,,,N,2,1,11
,Applebaum,  2024/04/06,GUEST: Susanne Farrin - Masterclass,MUSC,,1,N,N,N,N,N,,,,N,3,1,15
,Kracum ,  2024/04/05,GUEST: Susanne Farrin & EDN - Concert,MUSC,,3,N,N,N,Y,N,,,,Y,4,6,50
3,Kracum ,  2024/04/12,GUEST: Christopher Taylor - Concert (piano),MUSC,,2,Y,Y,N,Y,N,,,,N,6,3,133
,Kracum ,  2024/04/13,Music Comps Festival ,MUSC,,2,Y,Y,N,Y,Y,,,,Y,3,3,65
,Applebaum,  2024/04/13,GUEST: Christopher Taylor - Masterclass,MUSC,,1,N,N,N,N,N,,,,N,3,0,7
4,Kracum ,  2024/04/19,GUEST: John Kani Panel/Roundtable,"ODOA, HIST, THD",,1,N,N,N,Y,N,,,,Y,4,4,107
,Kracum ,  2024/04/20,GUEST: Les Arrivants,MUSC,,1,Y,Y,N,Y,N,,,,N,6,3,55
5,Kracum ,  2024/04/21,International Festival - Performance,ISL,,1,Y,N,N,Y,N,,,,Y,8,4,175
6,Kracum ,  2024/05/03,ACA Night,MUSC,,2,N,N,Y,Y,N,,,                                                                                                                    ,Y,7,5,170
,Applebaum,  2024/05/05,Ammy Lin Student Recital,MUSC,,1,N,Y,N,Y,N,,,,Y,2,1,55
,Applebaum,  2024/05/05,Roskopf  Paul Student Recital,MUSC,,1,N,Y,N,Y,N,,,,N,2,2,30
7,Kracum ,  2024/05/11,Voice Showcase Recital,MUSC,,1,Y,Y,Y,Y,N,,,,N,4,3,85
,Kracum ,  2024/05/11,GUEST: Charlie Parr,MUSC,,1,N,N,N,N,N,,,,Y,4,3,27
,Kracum ,  2024/05/11,Remembering Melinda Russell,MUSC,,1,N,N,Y,Y,N,,,,N,4,2,32
,Kracum ,  2024/05/10,Symphony Concert,MUSC,,1,Y,Y,Y,Y,Y,,,,N,5,3,97
8,Kracum ,2024/05/16,Jazz Concert,MUSC,,1,Y,Y,Y,Y,Y,,,,N,5,3,95
,Kracum ,  2024/05/17,Chinese and Global,MUSC,,1,Y,Y,N,Y,Y,,,,N,4,2,116
,Applebaum,  2024/05/19,Petrini/Wurst Student Recital,MUSC,,1,N,N,N,Y,N,,,,N,3,3,
9,Kracum ,  2024/05/22,Piano Studio Recital,MUSC,,1,N,Y,N,Y,Y,,,,N,5,2,45
,Applebaum,  2024/05/23,Jazz Chamber,MUSC,,1,Y,Y,N,Y,Y,,,,N,4,2,56
,Kracum ,  2024/05/24,Orchestra and Choir,MUSC,,1,Y,Y,Y,Y,Y,,,,N,5,3,443
,Kracum ,  2024/05/26,Chamber Music,MUSC,,1,Y,Y,N,Y,N,,,,N,5,3,43
10,Applebaum,  2024/05/26,CSA: Just Cellin,CSA,,1,N,N,N,Y,N,,,,N,2,1,16
,Applebaum,  2024/05/27,Johnson Recital,MUSC,,1,N,Y,Y,N,N,,,,N,2,1,3
,Applebaum,  2024/05/27,Verma Jameson Recital,MUSC,,1,N,Y,Y,N,N,,,,N,1,0,20
,Weitz Commons,  2024/05/28,World Drum Recital,MUSC,,,,N,N,N,N,,,,N,1,0,45
,Kracum,  2024/05/28,"Composition Showcase Recital - Set Up, Rehearsal & Concert",MUSC,,,,Y,N,Y,Y,,,,N,4,3,46
,Skinner Chapel,  2024/05/28,Zimmerman - Organ Student Recital,MUSC,,,,Y,N,Y,N,,,,N,2,1,12
,Kracum,  2024/05/29,Strings Recital,MUSC,,,,Y,N,Y,N,,,,N,4,2,5
,Applebaum,  2024/05/29,Chinese Music Studio Recital,MUSC,,,,Y,N,Y,N,,,,N,4,2,25
