WK,VENUE,DATE,WHAT,DEPARTMENT,RECEPTION,DAYS COMMITTED,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,PROGRAM
,Kracum,  2022/02/11,Faculty Recital: Matthew McCright,MUSC,N,1,1,1,L,L,L,L,N,Y,Y,NA,Y
,Kracum,  2022/02/19,Voice Showcase Recital,MUSC,N,1,1,2,L,L,L,L,Y,Y,Y,50,N
,Kracum,  2022/02/20,GUEST: Derek Gripper,French,N,1,1,2,M,M,M,L,N,Y,Y,58,N
,Kracum,  2022/02/24,Jazz Concert,MUSC,N,1,1,3,H,H,H,L,N,Y,Y,196,Y
,Kracum,  2022/02/18,Symphony Concert,MUSC,N,1,1,3,M,M,M,L,Y,Y,Y,67,N
,Kracum,  2022/02/27,Choir Concert,MUSC,N,1,1,3,L,L,L,L,Y,Y,Y,147,Y
,Kracum,  2022/03/01,Composition Showcase Recital,MUSC,N,1,1,1,L,L,L,L,Y,NA,NA,NA,Y
,Kracum,  2022/03/02,Piano Studio Recital,MUSC,N,1,1,2,L,L,L,L,N,Y,Y,55,Y
,Applebaum,  2022/03/03,Jazz Chamber Recital,MUSC,N,1,1,1,L,L,L,L,N,NA,NA,51,Y
,Kracum,  2022/03/04,Orchestra Concert,MUSC,N,1,2,3,M,L,H,L,N,Y,NA,291,Y
,Kracum,  2022/03/06,Chamber Music Recital,MUSC,N,1,1,2,L,L,L,L,N,Y,Y,40,Y
,Weitz Commons,  2022/03/07,West African Drum Ensemble,MUSC,N,1,0,1,L,L,L,L,N,Y,NA,20,N
,Kracum,  2022/03/09,Strings Recital,MUSC,N,1,1,2,L,L,L,L,N,Y,NA,23,Y
,Kracum,  2022/03/11,CSA: Group Concert,MUSC,N,1,1,2,M,H,M,L,N,Y,NA,36,N
,Kracum,  2022/03/18,GUEST: Quince Ensemble,Minnesota State Arts Board,Y,1,1,2,L,L,L,L,N,Y,NA,22,Y
