WK,VENUE,DATE,WHAT,DEPARTMENT,"SUPPORT 
LEVEL",PAC STAFF,AV STAFF,DAYS COMMITTED,POSTER,PROGRAM,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,"AUDIO 
NEEDS",LIGHTING NEEDS,STAGE NEEDS,RECEPTION,AUDIENCE COUNT
1,Kracum,  2024/01/06,Faculty Recital: Laura Caviani (piano),MUSC,M,4,6,1,Y,Y,Y,Y,N,L,H,L,Y,76
2,Kracum,  2024/01/14,Parents Circle Presentation,Inclusion & Equity,,0,3,1,N,N,Y,Y,N,H,L,L,N,
3,Kracum,  2024/01/17,GUEST: Vijay Iyer - Masterclass,MUSC,,4,2,1,N,N,Y,N,N,,,,N,
,Kracum,  2024/01/18,GUEST: Vijay Iyer Trio - Concert,MUSC,,7,2,2,Y,Y,N,N,N,,,,Y,200
4,Kracum,  2024/01/28,Piano Faculty Recital,MUSC,,5,4,1,Y,Y,N,Y,N,,,,N,82
5,Kracum,  2024/02/01,GUEST: Adam Levy Trio - Masterclass,MUSC,,2,1,1,N,N,N,N,N,,,,N,19
,Kracum,  2024/02/01,GUEST: Adam Levy Trio - Concert,MUSC,,4,5,1,Y,Y,N,Y,N,,,,N,95
,Kracum,  2024/02/02,CSA: ASIA Lunar New Year - Performance,MUSC,,4,6,2,N,N,N,Y,N,,,,Y,246
7,Kracum,  2024/02/13,GUEST: Moussa Diallo - Concert,ODOA,,5,3,1,Y,Y,N,Y,N,,,,N,110
,Applebaum,  2024/02/14,President's Quartly Meeting,Pres. Office,,0,2,1,N,N,Y,Y,N,,,,,NA
,Applebaum,  2024/02/14,Zhongbei Wu Lecture,MUSC,,1,1,1,Y,N,Y,N,N,,,,,NA
,Kracum,  2024/02/16,Symphony Concert,MUSC,,5,4,2,Y,Y,Y,Y,Y,,,,N,138
,Kracum,  2024/02/17,Voice Showcase Recital,MUSC,,3,3,1,Y,Y,Y,Y,Y,,,,N,44
,Kracum,  2024/02/18,"Chinese Music Concert w/ GUESTS (erhu, guzheng)",MUSC,,5,4,2,Y,Y,N,Y,Y,,,,N,196
8,Kracum,  2024/02/22,Jazz Area Concert,MUSC,,5,5,2,Y,Y,N,Y,Y,,,,Y,114
,Applebaum,  2024/02/22,GUEST: fivebyfive - Lecture,MUSC,,1,0,1,N,N,Y,N,N,,,,,NA
,Kracum,  2024/02/23,GUEST: fivebyfive,MUSC,,4,5,1,Y,Y,Y,Y,N,,,,N,130
,Kracum,  2024/02/24,GUEST: fivebyfive Masterclass,MUSC,,1,1,1,N,N,N,N,N,,,,N,6
,Kracum,  2024/02/25,Choir Concert,MUSC,,5,1,2,Y,Y,N,Y,Y,,,,N,130
9,Kracum,  2024/02/28,"Piano Studio Recital - Tuning, Rehearsal & Concert",MUSC,,4,0,1,Y,Y,N,Y,Y,,,,N,35
,Applebaum,  2024/02/29,Jazz Chamber Recital,MUSC,,NA,NA,1,NA,NA,NA,NA,NA,,,,N,60
,Applebaum,  2024/02/29,Chinese Music Recital,MUSC,,4,2,1,Y,Y,N,Y,N,,,,N,30
,Kracum,  2024/03/01,Orchestra Concert,MUSC,,6,3,2,Y,Y,N,Y,Y,,,,N,250
,Kracum,  2024/03/02,CSA: Just Cellin,CSA,,2,2,1,N,N,N,Y,N,,,,N,20
,Kracum,  2024/03/03,Chamber Music Recital,MUSC,,3,4,1,Y,Y,N,Y,Y,,,,N,27
10,Kracum,  2024/03/05,"Composition Showcase Recital - Set Up, Rehearsal & Concert",MUSC,,4,3,1,Y,Y,N,Y,N,,,,N,28
,Skinner Chapel,  2024/03/05,Organ & Harpichord Recital,MUSC,,2,2,1,Y,Y,N,Y,N,,,,N,NA
,Kracum,  2024/03/06,Strings Recital,MUSC,,5,3,1,Y,Y,N,Y,N,,,,N,27
,Applebaum,  2024/03/06,Chinese Music Studio Recital,MUSC,,2,2,1,Y,Y,N,Y,N,,,,N,NA
,Kracum,  2024/03/08,CSA: Acapella Concert,CSA,,3,3,1,N,N,N,Y,N,,,,N,235
