WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2019/09/27,GUEST: William Chapman Nyaho Concert,MUSC,76,Y,N,1,3,L,L,L,L,N,N
,Applebaum,  2019/10/11,Light Lectureship: Michael Mizrahi,MUSC,57,Y,N,2,3,L,L,L,L,N,N
,Kracum,  2019/10/18,ODOA: Gaelynn Lea,ODOA,218,N,Y,2,4,L,L,L,L,N,Y
,Kracum,  2019/10/25,GUEST: Atlantis Quartet,MUSC,80,N,N,2,2,M,M,L,L,N,Y
,Kracum,  2019/10/26,CSA: Pied Pipers,CSA,61,N,N,1,2,M,L,M,L,N,Y
,Kracum,  2019/10/31,SPCO Concert,MUSC & SPCO,400,N,N,1,7,H,L,H,L,N,N
,Kracum,  2019/11/01,Symphony Concert,MUSC,116,Y,N,0,4,M,M,L,L,Y,Y
,Kracum,  2019/11/02,AALAC Conference,Dean's Office,47,N,Y,2,2,H,H,H,L,N,Y
,Applebaum,  2019/11/02,Voice Showcase Recital,MUSC,34,N,N,0,2,L,L,L,L,Y,Y
,Kracum,  2019/11/03,Chinese & Global Music Concert,MUSC,95,Y,N,2,3,H,H,H,L,N,Y
,Kracum,  2019/11/06,Jazz Rehearsal,MUSC,NA,NA,NA,1,1,M,H,H,L,N,N
,Kracum,  2019/11/07,Jazz Concert,MUSC,108,Y,N,2,1,H,H,H,L,Y,Y
,Kracum,  2019/11/08,Choir Concert,MUSC,155,Y,N,2,4,M,L,M,L,N,Y
,Applebaum,  2019/11/11,GUEST: Pete McCann Quartet,MUSC,40,Y,N,1,2,M,M,M,L,N,Y
,Applebaum,  2019/11/12,Masterclass: Pete McCann Quartet,MUSC,15,N,N,1,1,L,L,L,L,N,N
,Kracum,  2019/11/13,Piano Studio Recital,MUSC,61,N,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/11/15,Orchestra Concert,MUSC,NA,Y,Y,0,4,H,L,H,L,N,Y
,Applebaum,  2019/11/17,Chamber Music Recital,MUSC,23,Y,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/11/18,Jazz Chamber Recital,MUSC,62,Y,N,1,1,M,M,M,L,N,Y
,Chapel,  2019/11/19,Organ Recital,MUSC,19,Y,N,0,1,L,L,L,L,N,N
,Kracum,  2019/11/19,Composition Showcase Recital,MUSC,30,Y,N,1,2,H,M,L,H,N,Y
,Kracum,  2019/11/20,Strings Recital,MUSC,25,Y,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/11/20,CSA: Singing Knights,MUSC,135,N,N,1,1,L,L,L,L,N,N
