WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV STAFF,PAC STAFF,"SUPPORT 
LEVEL","AUDIO 
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,"VIDEO
RECORDING",LIVESTREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
0,Kracum,  2023/09/06,Music Fest,MUSC,1,2,3,L,L,L,L,Y,N,N,NA,N,N,N
3,Kracum,  2023/09/29,GUEST: Laura Viers - Concert (guitar & voice),MUSC,1,3,5,L,M,L,M,N,Y,N,50,Y,Y,Y
,Kracum,  2023/10/01,Fall Faculty Gala - Concert ,MUSC,2,3,7,H,H,M,M,N,Y,N,83,Y,Y,Y
4,Applebaum,  2023/10/03,Mazariello Concert,MUSC,1,3,3,L,L,L,L,Y,Y,N,31,N,N,N
,Kracum,  2023/10/06,GUEST: Sequentia - Concert (voice),"History, ODOA, MUSC",2,3,6,L,L,L,L,Y,Y,N,187,Y,Y,N
,Applebaum,  2023/10/07,GUEST: Helen Chang Masterclass,MSUC,1,1,1,L,L,L,L,N,N,N,NA,N,N,N
,Kracum,  2023/10/08,"GUEST: Helen Chang Concert (violin, piano, cello)",MUSC,2,2,6,L,L,L,L,N,Y,N,43,Y,Y,Y
5,Kracum,  2023/10/13,Student Talent Showcase,MUSC,1,3,7,H,H,H,H,N,Y,Y,335,Y,Y,Y
6,Kracum,  2023/10/19,GUEST: SPCO - Concert,MUSC,1,2,5,M,L,H,L,N,N,N,260,Y,N,N
,Kracum,  2023/10/20,GUEST: Joe Rainey - Concert,ODOA,1,3,5,M,M,M,L,N,N,N,146,Y,Y,N
,Kracum,  2023/10/21,GUEST: Mohammed Bin Faris - Concert,"History, ODOA",1,2,5,M,H,M,L,N,Y,N,120,Y,Y,Y
7,Kracum,  2023/10/28,Chinese & Global Music Concert,MUSC,2,2,5,H,H,H,L,N,N,Y,87,Y,Y,N
,Applebaum,  2023/10/28,Voice Showcase Recital,MUSC,2,2,3,L,L,L,L,Y,Y,Y,NA,Y,Y,N
,Kracum,  2023/10/29,GUEST: Voces8 - Masterclasses,MUSC,1,2,3,M,L,H,L,N,N,N,NA,N,N,N
,Kracum,  2023/10/29,GUEST: Voces8 - Concert,MUSC,1,2,9,H,L,H,H,N,Y,N,277,Y,Y,Y
8,Kracum,  2023/10/31,GUEST: Sophie Lukacs Concert (kora),MUSC/ODOA,1,0,1,L,L,L,L,NA,NA,NA,60,N,N,N
,Kracum,  2023/11/01,President's Quarterly Meeting,PRES,1,1,0,L,L,L,L,NA,NA,N,NA,N,N,N
,Kracum,  2023/11/02,Jazz Concert,MUSC,2,3,5,H,H,H,M,N,Y,Y,92,Y,Y,Y
,Kracum,  2023/11/03,Symphony Concert,MUSC,2,3,5,H,M,H,M,Y,Y,Y,88,Y,Y,N
,Applebaum,  2023/11/04,CSA Just Cellin Concert (7:30P-8:30P),CSA,1,1,3,L,L,L,L,N,Y,N,NA,Y,N,N
,Kracum,  2023/11/05,Choir Concert,MUSC,1,3,5,M,L,H,L,N,Y,Y,130,Y,Y,N
9,Kracum,  2023/11/08,"Piano Studio Recital - Tuning, Rehearsal & Concert",MUSC,1,1,4,L,L,L,L,N,Y,Y,50,Y,Y,N
,Applebaum,  2023/11/09,Jazz Chamber Recital,MUSC,1,2,4,M,H,M,L,N,Y,Y,59,Y,Y,N
,Kracum,  2023/11/10,Orchestra Concert,MUSC,1,3,5,M,L,H,M,N,Y,Y,300,Y,Y,N
,Kracum,  2023/11/12,Chamber Music Recital,MUSC,1,2,5,M,M,H,L,,Y,Y,40,Y,Y,N
,Kracum,  2023/11/12,CSA Knights & Accidentals ,CSA,1,1,3,L,L,L,L,N,Y,N,115,N,N,N
10,Kracum,  2023/11/14,"Composition Showcase Recital - Set Up, Rehearsal & Concert",MUSC,1,1,4,M,M,M,M,Y,Y,Y,50,Y,Y,N
,Skinner Chapel,  2023/11/14,Organ & Harpichord Recital,MUSC,1,1,2,L,L,L,L,N,Y,N,36,Y,N,N
,Kracum,  2023/11/15,Strings Recital,MUSC,1,2,4,L,L,L,L,N,Y,N,20,Y,N,N
,Applebaum,  2023/11/15,Chinese Music Studio Recital,MUSC,1,2,4,L,L,M,L,N,N,N,20,Y,Y,N
,Kracum,  2023/11/04,CSA Knightingales,CSA,1,2,2,L,L,L,L,N,Y,N,66,Y,Y,N
