WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV STAFF,PAC STAFF,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
,Concert Hall,2015/03/30,Choir Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/04,GUEST: Ysaÿe Barnwell,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/10,Senior Low Brass Recital: Bloom & Cole,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/12,GUEST: Jon Nakamastsu,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/18,Senior Voice Recital: Patrick Stephen,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/19,Faculty Organ Recital: Lawrence Archbold,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/24,Composition Showcase Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/24,Symphony Concert I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/04/26,"GUEST: Songs of War - R Penning, S Penning, Anderson, Anderegg, Rosenberg, & Melville",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/02,Senior Voice Recital: Caroline Bolster,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/02,Senior Trombone Recital: Stella Fritzell,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/08,GUEST: Light Lectureship - Polygraph Lounge,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/09,GUEST: Light Lectureship - Polygraph Lounge Chamber,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/10,Junior Voice Recital: Pollard & Tse,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/15,Symphony Concert II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/16,Senior Voice Recital: John Davidson,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/16,Voice Showcase Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/16,GUEST: Martha Jamsa Flute Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/17,SPCO Concert,"MUSC, SPCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/22,GUEST: Haydn Orchestra & Carleton Singers,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/24,Chinese Music Ensemble,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/26,Senior Voice Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/27,Piano Studio Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/29,Orchestra Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/05/31,Jazz Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/06/01,Violin/Viola Recital I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/06/03,Violin/Viola Recital II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
