WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2019/03/23,GUEST: Macalester Choir Concert,MUSC,24,N,N,1,2,M,L,M,L,N,N
,Kracum,  2019/04/06,GUEST: Minnesota Dance Theater,MUSC,396,Y,N,1,5,H,L,H,H,Y,Y
,Kracum,  2019/04/12,Light Lectureship: Caroline Shaw,MUSC,145,Y,N,1,5,M,M,M,L,N,N
,Kracum,  2019/04/13,Masterclass: Caroline Shaw,MUSC,23,N,N,1,2,M,M,L,L,N,N
,Kracum,  2019/04/18,Accepted Students Day,MUSC & Admissions,300,N,N,1,1,L,L,L,L,N,N
,Kracum,  2019/04/20,Comps Fest,MUSC,57,Y,N,2,2,H,H,H,L,Y,Y
,Applebaum,  2019/04/27,Senior Guzheng Recital:Haoyi Wang,MUSC,6,Y,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/05/03,Chinese Music Concert,MUSC,174,Y,N,1,3,H,H,H,L,N,Y
,Kracum,  2019/05/08,CSA: Pied Pipers,CSA,100,N,N,0,1,L,L,L,L,N,Y
,Kracum,  2019/05/10,Faculty Recital: McCright & Melville,MUSC,75,Y,N,2,3,L,L,L,L,N,Y
,Applebaum,  2019/05/11,Senior Violin Recital: Geoffrey Mo,MUSC,17,Y,N,1,2,L,L,L,L,N,Y
,Applebaum,  2019/05/11,Senior Viola Recital: Patricia Commins,MUSC,20,Y,N,1,2,L,L,L,L,N,Y
,Kracum,  2019/05/11,GUEST: Yair Dalal and Dror Sinai,MUSC,95,N,N,1,1,M,M,L,L,N,Y
,Kracum,  2019/05/17,Symphony Concert,MUSC,96,Y,N,1,3,L,L,L,L,Y,Y
,Kracum,  2019/05/18,Chinese Global Concert,MUSC,52,Y,N,3,3,H,H,H,L,N,Y
,Applebaum,  2019/05/18,Voice Showcase Recital,MUSC,39,N,N,1,1,L,L,L,L,Y,Y
,Applebaum,  2019/05/19,Senior Flute & Piano Recital: Atkins & Mukherjee,MUSC,28,Y,Y,1,1,L,L,L,L,N,Y
,Kracum,  2019/05/26,Jazz Concert,MUSC,127,Y,Y,2,1,H,H,H,L,Y,Y
,Kracum,  2019/05/24,Choir Concert,MUSC,157,Y,Y,1,3,M,M,M,L,N,Y
,Kracum,  2019/05/29,Piano Studio Recital,MUSC,79,Y,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/05/24,Orchestra Concert,MUSC,142,N,N,0,2,H,L,H,L,N,Y
,Applebaum,  2019/05/04,Junior Voice Recital: Hauser & Sachs,MUSC,36,Y,N,1,1,L,L,L,L,N,Y
,Applebaum,  2019/05/04,Senior Voice Recital: Zhi You Koh,MUSC,15,Y,N,1,1,L,L,L,L,N,Y
,Applebaum,  2019/06/01,Junior Voice Recital: Skyelar Ginsberg,MUSC,31,Y,N,1,1,L,L,L,L,N,Y
,Applebaum,  2019/06/02,Chamber Music Recital,MUSC,75,Y,N,1,2,M,M,M,L,N,Y
,M31,  2019/06/04,Organ & Harpsichord Recital,MUSC,11,N,N,0,1,L,L,L,L,N,N
,Kracum,  2019/06/04,Composition Showcase Recital,MUSC,47,Y,N,1,3,M,M,L,H,N,Y
,Kracum,  2019/06/05,Strings Recital,MUSC,NA,Y,N,1,1,L,L,L,L,N,Y
,Applebaum,  2019/06/05,CSA: Just Cellin',CSA,16,N,N,0,1,L,L,L,L,N,N
,Kracum,  2019/06/05,CSA: Singing Knights,CSA,48,N,N,2,1,L,M,L,L,N,Y
,Kracum,  2019/06/06,CSA: Accidentals,CSA,84,N,N,1,2,H,M,H,L,N,N
