WK,VENUE,DATE,WHAT,DEPARTMENT,DAYS COMMITTED,AV STAFF,PAC STAFF,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING,LIVE STREAM,AUDIENCE COUNT,POSTER,PROGRAM,RECEPTION
,Concert Hall,  2015/01/18,Faculty Piano Recital: Nicola Melville,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/01/25,Faculty Flute Recital: Martha Jamsa,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/01/31,Faculty Pipa Recital: Gao Hong,ODOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/06,GUEST: Woodward Concert - Haas & Anoki,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/08,"GUEST: Anderson, Martin, & Hagedorn",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/15,Faculty Trombone Recital: Ron Rodman,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/20,Symphony Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/21,Voice Showcase Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/22,Chinese Music Ensemble,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/25,Jazz Piano Studio Reictal,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/01,Jazz Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/04,Piano Studio Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/05,Chamber Music Recital I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/06,Orchestra Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/08,Chamber Music Recital II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/08,Organ Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/09,Violin/Viola Recital I,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/11,Violin/Viola Recital II,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Weitz Theater,  2015/03/09,Junior Voice Recital: Nora Katz,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/02/28,Choir Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Concert Hall,  2015/03/07,Composition Showcase Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
