WK,VENUE,DATE,WHAT,DEPARTMENT,AUDIENCE COUNT,PROGRAM,RECEPTION,AV Staff,PAC Staff,"SUPPORT 
LEVEL","AUDIO
NEEDS",STAGE NEEDS,LIGHTING NEEDS,PROJECTION,VIDEO RECORDING
,Kracum,  2019/01/13,Faculty Gala Recital,MUSC,74,Y,N,1,5,H,H,H,L,N,Y
,Kracum,  2019/02/01,GUEST: Cipher,MUSC,78,N,N,1,2,L,L,L,L,N,Y
,Kracum,  2019/02/15,CSA: Pied Pipers,MUSC,75,N,N,2,1,L,L,L,L,N,Y
,Kracum,  2019/02/13,ODOA: Rose Ensemble,ODOA,170,Y,Y,3,6,L,L,L,L,N,NA
,Kracum,  2019/02/22,Symphony Concert,MUSC,136,Y,N,1,4,M,L,M,M,Y,Y
,Kracum,  2019/02/24,Chinese Ensemble Concert,MUSC,45,Y,Y,3,2,H,H,H,L,Y,Y
,Kracum,  2019/02/26,Choir Concert & GUEST: Newcomer,MUSC,225,Y,N,1,2,M,M,M,L,N,Y
,Kracum,  2019/02/28,Voice Showcase Recital,MUSC,NA,NA,N,1,3,L,L,L,L,N,Y
,Kracum,  2019/03/02,SPCO,MUSC & SPCO,351,Y,N,1,7,M,L,H,L,N,N
,Kracum,  2019/03/03,Jazz Concert,MUSC,89,Y,N,1,3,H,H,H,L,N,Y
,Kracum,  2019/03/06,Piano Studio Recital,MUSC,45,Y,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/03/08,Orchestra Concert,MUSC,182,N,N,1,3,M,L,H,L,N,Y
,Kracum,  2019/03/09,CSA: Exit 69,CSA,119,N,N,1,1,L,L,L,L,N,Y
,Kracum,  2019/03/10,Chamber Music Recital,MUSC,65,Y,N,1,2,L,L,M,L,N,Y
,Kracum,  2019/03/11,Jazz Chamber Recital,MUSC,50,Y,N,1,4,M,H,M,L,N,Y
,Kracum,  2019/03/12,Composition Showcase Recital,MUSC,53,Y,N,1,3,M,L,L,H,N,Y
,Chapel,  2019/03/12,"Organ, Harpsichord & Recorder Recital",MUSC,15,Y,N,0,1,L,L,L,L,N,N
,Puzak,  2019/03/13,Chinese Music Studio Recital,MUSC,4,Y,N,0,1,L,L,L,L,N,Y
,Kracum,  2019/03/13,Strings Recital,MUSC,30,Y,N,2,0,L,L,L,L,N,Y
,Kracum,  2019/03/13,CSA: Singing Knights & Accidentals,MUSC,205,N,N,1,2,M,L,M,L,N,Y
