venue,date,what,department,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,audience_count,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Concert Hall,2014-10-10,GUEST: Lake Wobegon Brass Band,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-10-12,GUEST: Lucas Concert - JazzAx,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-10-26,GUEST: Linda Chatterton Flute Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2014-11-02,GUEST: Red Baraat Concert,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F14,NA,MUSC,Guest,2014-2015,Fall
Concert Hall,2015-02-06,GUEST: Woodward Concert - Haas & Anoki,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W15,NA,MUSC,Guest,2014-2015,Winter
Concert Hall,2015-02-08,"GUEST: Anderson, Martin, & Hagedorn",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W15,NA,MUSC,Guest,2014-2015,Winter
Concert Hall,2015-04-04,GUEST: Ysaÿe Barnwell,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-04-12,GUEST: Jon Nakamastsu,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-04-26,"GUEST: Songs of War - R Penning, S Penning, Anderson, Anderegg, Rosenberg, & Melville",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-16,GUEST: Martha Jamsa Flute Recital,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-17,SPCO Concert,MUSC & SPCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,Collab,Guest,2014-2015,Spring
Concert Hall,2015-05-22,GUEST: Haydn Orchestra & Carleton Singers,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
