date	what	genre	sponsor	year	term_category
2014-10-10	Lake Wobegon Brass Band	Brass Band	Anoka-Ramsey Community College & Anoka Brass Band Association, Inc.	2014-2015	Fall
2014-10-12	Lucas Concert - JazzAx	Saxophone Quartet	Lucas Concert	2014-2015	Fall
2014-10-26	Linda Chatterton Flute Recital	Flute and Piano Duo	Faculty: Matthew McCright	2014-2015	Fall
2014-11-02	Red Baraat Concert	Jazz Ensemble	Concert Series	2014-2015	Fall
2015-02-06	Woodward Concert - Haas & Anoki	Violin and Piano	Woodward Concert	2014-2015	Winter
2015-02-08	Anderson, Martin, & Hagedorn	Horn, Double Bass, and Xylosynth Trio	Faculty: Gwen Anderson & Faculty: Connie Martin	2014-2015	Winter
2015-04-04	Ysaÿe Barnwell	Voice Solo	Laudie D. Porter Performing and Creative Artists	2014-2015	Spring
2015-04-12	Jon Nakamastsu	Piano Solo	Concert Series	2014-2015	Spring
2015-04-26	Songs of War - R Penning, S Penning, Anderson, Anderegg, Rosenberg, & Melville	Chamber Group	Concert Series	2014-2015	Spring
2015-05-08	Light Lectureship - Polygraph Lounge	Quartet	Light Lectureship & Carleton Arts & Technology Initiative	2014-2015	Spring
2015-05-09	Light Lectureship - Polygraph Lounge Chamber	Quartet + Chamber	Light Lectureship & Carleton Arts & Technology Initiative	2014-2015	Spring
2015-05-16	Martha Jamsa Flute Recital	Chamber Group	Faculty: Mark Krusemeyer	2014-2015	Spring
2015-05-17	SPCO Concert	Chamber Orchestra	SPCO & Redleaf Family Chair & HRK Family	2014-2015	Spring
2015-05-22	Haydn Orchestra & Carleton Singers	Orchestra + Choir	Concert Series	2014-2015	Spring
2016-01-15	Greenman & Carleto World Music Chamber Ensemble	Violin and Pipa Duo	Faculty: Gao Hong	2015-2016	Winter
2016-01-29	Mark Kreitzer Band	Blugrass Quartet	Faculty: Mark Kreitzer	2015-2016	Winter
2016-01-30	Christopher Light Lectureship	NA	Light Lectureship	2015-2016	Winter
2016-02-26	Niramala of Friends	South Indian Quartet	Laudie D. Porter Performing and Creative Artists	2015-2016	Winter
2016-04-08	Light Lectureship w/ Dan Trueman	Percussion Solo	Light Lectureship	2015-2016	Spring
